epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7948,1.51297,0.91557,0.89019,2e-05,0.00041,0,0,1.75298,0.24827,1.47978,0.00044299,0.00044299,0.00044299
2,27.5269,1.54176,0.43846,1.1437,0.0381,0.01628,0.00706,0.00206,1.66149,0.4367,1.3741,0.000882445,0.000882445,0.000882445
3,42.9139,1.21489,0.56775,0.75145,0.7734,0.15995,0.10951,0.03951,0.82362,0.95619,0.51554,0.00130379,0.00130379,0.00130379
4,56.3571,1.022,0.72912,0.58155,0.40064,0.39708,0.06088,0.01794,0.82041,0.81328,0.52053,0.00134412,0.00134412,0.00134412
5,68.3621,1.10236,0.57876,0.61589,0.01803,0.03111,0.00485,0.00087,nan,nan,nan,0.00131582,0.00131582,0.00131582
6,80.2642,0.92911,0.68741,0.49525,0.76892,0.19001,0.12258,0.06229,0.49147,0.96242,0.26725,0.00128753,0.00128753,0.00128753
7,93.5818,0.84475,0.70247,0.43571,0.16415,0.48336,0.20003,0.10053,nan,nan,nan,0.00125923,0.00125923,0.00125923
8,106.615,0.911,0.62902,0.43378,0.45657,0.56517,0.28813,0.1454,0.49412,0.8621,0.27183,0.00123094,0.00123094,0.00123094
9,119.791,0.72812,0.71429,0.3561,0.26292,0.62796,0.38315,0.18326,0.42886,0.91513,0.24941,0.00120265,0.00120265,0.00120265
10,133.116,0.65191,0.76493,0.31588,0.26663,0.52414,0.30333,0.17042,nan,nan,nan,0.00117435,0.00117435,0.00117435
11,145.057,0.58921,0.78339,0.27168,0.39691,0.60819,0.4606,0.28462,0.41389,0.86175,0.25026,0.00114606,0.00114606,0.00114606
12,158.684,0.63907,0.65819,0.31723,0.43136,0.44467,0.36705,0.21728,nan,nan,nan,0.00111776,0.00111776,0.00111776
13,170.421,0.58951,0.71953,0.28344,0.25202,0.17052,0.1025,0.0636,nan,nan,nan,0.00108947,0.00108947,0.00108947
14,182.302,0.57523,0.69947,0.28867,0.51206,0.60207,0.59046,0.37543,0.40169,0.67462,0.24819,0.00106118,0.00106118,0.00106118
15,195.57,0.53945,0.72041,0.2674,0.5097,0.62968,0.59553,0.3606,0.39797,0.68536,0.23759,0.00103288,0.00103288,0.00103288
16,207.483,0.51774,0.6714,0.24534,0.62972,0.58627,0.60695,0.35561,nan,nan,nan,0.00100459,0.00100459,0.00100459
17,219.412,0.51687,0.67967,0.24308,0.57207,0.74045,0.70567,0.45798,0.36252,0.70273,0.2176,0.000976293,0.000976293,0.000976293
18,233.016,0.49379,0.64847,0.22852,0.64817,0.83948,0.78923,0.53463,0.36619,0.6986,0.20913,0.000947999,0.000947999,0.000947999
19,246.332,0.47542,0.61228,0.21684,0.66013,0.78294,0.80672,0.52128,0.35187,0.61,0.20573,0.000919704,0.000919704,0.000919704
20,258.103,0.46969,0.6193,0.22887,0.6018,0.85521,0.7914,0.50271,0.37902,0.67139,0.23965,0.00089141,0.00089141,0.00089141
21,269.849,0.46538,0.62813,0.21891,0.61275,0.82094,0.79189,0.51829,0.34568,0.62725,0.19883,0.000863116,0.000863116,0.000863116
22,281.629,0.4417,0.62178,0.20396,0.67746,0.84112,0.82131,0.5653,0.33123,0.621,0.19103,0.000834822,0.000834822,0.000834822
23,294.746,0.43958,0.60916,0.20498,0.74367,0.79524,0.83725,0.55455,0.34136,0.5866,0.20277,0.000806528,0.000806528,0.000806528
24,306.543,0.43811,0.61486,0.20318,0.60823,0.77851,0.71652,0.49081,nan,nan,nan,0.000778233,0.000778233,0.000778233
25,318.401,0.43072,0.58424,0.19992,0.70956,0.79863,0.81279,0.53279,0.35665,0.60027,0.20445,0.000749939,0.000749939,0.000749939
26,330.264,0.45214,0.62748,0.20506,0.6579,0.69778,0.73938,0.49402,nan,nan,nan,0.000721645,0.000721645,0.000721645
27,342.434,0.42194,0.63515,0.19786,0.60713,0.87053,0.81999,0.5553,0.32631,0.62902,0.18877,0.000693351,0.000693351,0.000693351
28,354.446,0.43256,0.59845,0.1945,0.69264,0.87479,0.82595,0.56512,0.33579,0.59546,0.18697,0.000665057,0.000665057,0.000665057
29,366.285,0.41588,0.60274,0.19476,0.68862,0.81387,0.83112,0.57616,0.32016,0.65494,0.18387,0.000636762,0.000636762,0.000636762
30,379.395,0.40715,0.56543,0.18099,0.73199,0.88428,0.84447,0.56776,0.33164,0.56678,0.19464,0.000608468,0.000608468,0.000608468
31,391.754,0.40721,0.56323,0.18961,0.69583,0.84344,0.848,0.58466,0.32506,0.6127,0.18702,0.000580174,0.000580174,0.000580174
32,405.082,0.41345,0.57711,0.18917,0.64691,0.76132,0.76334,0.51065,nan,nan,nan,0.00055188,0.00055188,0.00055188
33,417.355,0.39908,0.5769,0.17751,0.71945,0.87522,0.84318,0.59371,0.31816,0.60592,0.17809,0.000523586,0.000523586,0.000523586
34,431.151,0.39811,0.56061,0.18021,0.69078,0.85761,0.8387,0.57698,0.31494,0.60152,0.17539,0.000495291,0.000495291,0.000495291
35,443.352,0.38536,0.56226,0.17873,0.70916,0.87322,0.83492,0.57754,0.31336,0.60711,0.17405,0.000466997,0.000466997,0.000466997
36,455.741,0.38935,0.58166,0.17366,0.67628,0.83433,0.81835,0.57426,0.30805,0.62731,0.17423,0.000438703,0.000438703,0.000438703
37,468.018,0.37358,0.56801,0.16338,0.69856,0.87533,0.83401,0.58762,0.30828,0.57935,0.17251,0.000410409,0.000410409,0.000410409
38,480.278,0.37725,0.55773,0.17217,0.71882,0.86814,0.84191,0.57688,0.31724,0.65319,0.1812,0.000382115,0.000382115,0.000382115
39,492.545,0.36795,0.55919,0.16439,0.70883,0.84449,0.86127,0.60473,0.31291,0.56665,0.17777,0.00035382,0.00035382,0.00035382
40,506.077,0.38538,0.55331,0.17399,0.7586,0.83254,0.85395,0.58991,0.31278,0.60695,0.17671,0.000325526,0.000325526,0.000325526
41,519.416,0.32774,0.56451,0.17269,0.69406,0.82428,0.86254,0.58382,0.32118,0.56627,0.18426,0.000297232,0.000297232,0.000297232
42,531.729,0.33632,0.54331,0.17805,0.76246,0.86396,0.86891,0.60496,0.30902,0.54196,0.17384,0.000268938,0.000268938,0.000268938
43,545.265,0.32816,0.53744,0.17507,0.77341,0.83668,0.86614,0.61517,0.30724,0.52973,0.17053,0.000240644,0.000240644,0.000240644
44,558.793,0.31944,0.53129,0.16847,0.75951,0.83409,0.85877,0.5995,0.30875,0.61064,0.17547,0.000212349,0.000212349,0.000212349
45,571.106,0.32424,0.53387,0.17513,0.75413,0.81864,0.85861,0.59641,0.30375,0.5514,0.16978,0.000184055,0.000184055,0.000184055
46,583.352,0.31705,0.52943,0.16428,0.80342,0.82659,0.86911,0.61343,0.30351,0.53462,0.17065,0.000155761,0.000155761,0.000155761
47,595.329,0.31674,0.51371,0.15872,0.75443,0.86551,0.87207,0.61369,0.30173,0.56218,0.16922,0.000127467,0.000127467,0.000127467
48,608.15,0.31217,0.51726,0.16338,0.74469,0.86254,0.87036,0.61627,0.29837,0.54415,0.16556,9.91726e-05,9.91726e-05,9.91726e-05
49,621.325,0.3098,0.51665,0.16065,0.78744,0.83423,0.8722,0.61483,0.30064,0.54827,0.16803,7.08784e-05,7.08784e-05,7.08784e-05
